Time,Day_of_week,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Accident_severity
2024-03-10 17:02:00,Monday,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Moving Backward,Slight Injury
2024-03-10 17:02:00,Monday,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,Slight Injury
2024-03-10 17:02:00,Monday,Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,Serious Injury
2024-03-10 01:06:00,Sunday,Office areas,other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,Slight Injury
2024-03-10 01:06:00,Sunday,Industrial areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,Slight Injury
2024-03-10 17:30:00,Wednesday,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Other,Slight Injury
2024-03-10 17:20:00,Friday,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,U-Turn,No priority to vehicle,Slight Injury
2024-03-10 17:20:00,Friday,Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Changing lane to the right,Slight Injury
2024-03-10 17:20:00,Friday,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,U-Turn,Moving Backward,Serious Injury
2024-03-10 14:40:00,Saturday,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Turnover,Changing lane to the left,Serious Injury
2024-03-10 14:40:00,Saturday,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,Going straight,No priority to pedestrian,Serious Injury
2024-03-10 17:45:00,Thursday,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,No distancing,Slight Injury
2024-03-10 17:45:00,Thursday,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Waiting to go,No priority to vehicle,Slight Injury
2024-03-10 17:45:00,Thursday,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,No distancing,Serious Injury
2024-03-10 22:45:00,Monday,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,No distancing,Serious Injury
2024-03-10 22:45:00,Monday,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Moving Backward,Slight Injury
2024-03-10 22:45:00,Monday,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Changing lane to the right,Serious Injury
2024-03-10 22:45:00,Monday,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Moving Backward,No priority to pedestrian,Slight Injury
2024-03-10 08:20:00,Tuesday,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Moving Backward,Serious Injury
2024-03-10 08:20:00,Tuesday,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Getting off the vehicle improperly,Slight Injury
2024-03-10 15:10:00,Thursday,Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Moving Backward,Overtaking,Serious Injury
2024-03-10 12:11:00,Thursday,Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,Getting off,Overloading,Serious Injury
2024-03-10 12:11:00,Thursday,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Reversing,Changing lane to the right,Serious Injury
2024-03-10 18:36:00,Wednesday,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,Turnover,Improper parking,Slight Injury
2024-03-10 18:36:00,Wednesday,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Other,Slight Injury
2024-03-10 18:36:00,Wednesday,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Changing lane to the left,Slight Injury
2024-03-10 14:35:00,Friday,Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Changing lane to the right,Slight Injury
2024-03-10 12:25:00,Tuesday,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,Slight Injury
2024-03-10 12:25:00,Tuesday,Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Overspeed,Slight Injury
2024-03-10 15:30:00,Monday,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Changing lane to the left,Slight Injury
2024-03-10 18:10:00,Thursday,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,No priority to vehicle,Slight Injury
2024-03-10 15:25:00,Thursday,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Reversing,Changing lane to the right,Slight Injury
2024-03-10 15:25:00,Thursday,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Turnover,No distancing,Slight Injury
2024-03-10 13:57:00,Saturday,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,No priority to pedestrian,Slight Injury
2024-03-10 13:57:00,Saturday,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,No distancing,Slight Injury
2024-03-10 20:30:00,Friday,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,No priority to vehicle,Slight Injury
2024-03-10 20:30:00,Friday,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,Other,Slight Injury
2024-03-10 20:30:00,Friday,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,Driving carelessly,Slight Injury
2024-03-10 16:30:00,Sunday,Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,Slight Injury
2024-03-10 16:30:00,Sunday,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,Slight Injury
2024-03-10 21:50:00,Sunday,Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,Slight Injury
2024-03-10 21:50:00,Sunday,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No priority to vehicle,Slight Injury
2024-03-10 09:12:00,Wednesday,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,Slight Injury
2024-03-10 09:12:00,Wednesday,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,Slight Injury
